JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2450339.6,9.7,,,Vis.,TDM,,,,,,,,V,,,,LX CYG,,STD,,,,
2450344.4,10.3,,,Vis.,MRX,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450348.5,10,,,Vis.,RRB,,,,,,,,V,,,,LX CYG,,STD,,,,
2450355.4,10.3,,,Vis.,MRX,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450358.379,9.9,,,Vis.,DPA,,,,,,,,V,,,,LX CYG,,STD,,,,
2450364.36,10.4,,,Vis.,FRF,,,,,,,,V,,,,LX CYG,MCSE,STD,,,,
2450364.672,10.3,,,Vis.,HK,,,,,,,,V,,,,LX CYG,,STD,,,,
2450366.4,10.1,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450369.4,10.2,,,Vis.,MRX,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450370.4,10.2,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450375.4,10.2,,,Vis.,MRX,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450385.3,10.4,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450385.6,10.2,,,Vis.,MKJ,,,,,,,,V,,,,LX CYG,,STD,,,,
2450389.297,10.2,,,Vis.,DPA,,,,,,,,V,,,,LX CYG,,STD,,,,
2450391.3,10.3,,,Vis.,MRX,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450393.3,10.4,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450402.3,10.4,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450402.6,9.8,,,Vis.,MKJ,,,,,,,,V,,,,LX CYG,,STD,,,,
2450410.3,10.1,,,Vis.,MRX,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450411.3,10.2,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450419.3,10.1,,,Vis.,MRX,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450422.4,10.3,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450426.297,10.2,,,Vis.,DPA,,,,,,,,V,,,,LX CYG,,STD,,,,
2450426.6,9.9,,,Vis.,MKJ,,,,,,,,V,,,,LX CYG,,STD,,,,
2450428.2,10.1,,,Vis.,MRX,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450432.2,10.3,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450434.4,10.3,,,Vis.,MRX,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450438.3,10.3,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450438.5,10.4,,,Vis.,MKJ,,,,,,,,V,,,,LX CYG,,STD,,,,
2450443.3,10.2,,,Vis.,MRX,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450446.2,10.5,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450452.2,10.4,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450457.2,10.4,,,Vis.,MRX,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450462.2,10.4,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450463.2,10.5,,,Vis.,MRX,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450464.251,10.4,,,Vis.,DPA,,,,,,,,V,,,,LX CYG,,STD,,,,
2450473.2,10.5,,,Vis.,MRX,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
2450475.2,10.6,,,Vis.,CMG,,,,,,,,V,,,,LX CYG,KNVWS,STD,,,,
2450482.3,10.6,,,Vis.,MRX,,,,,,,,V,,,,LX CYG,AFOEV,STD,,,,
